% 
@relation autos
@attribute normalized-losses {<=89.0,(89.0;101.0],(101.0;110.0],(110.0;129.0],(129.0;158.0],>158.0}
@attribute make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute fuel-type {diesel,gas}
@attribute aspiration {std,turbo}
@attribute num-of-doors {four,two}
@attribute body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute drive-wheels {4wd,fwd,rwd}
@attribute engine-location {front,rear}
@attribute wheel-base {<=93.7,(93.7;95.7],(95.7;96.6],(96.6;98.8],(98.8;102.9],>102.9}
@attribute length {<=158.7,(158.7;167.3],(167.3;172.0],(172.0;176.2],(176.2;186.6],>186.6}
@attribute width {<=63.8,(63.8;64.2],(64.2;65.4],(65.4;66.1],(66.1;67.2],>67.2}
@attribute height {<=51.0,(51.0;52.8],(52.8;54.1],(54.1;54.7],(54.7;55.9],>55.9}
@attribute curb-weight {<=1985.0,(1985.0;2190.0],(2190.0;2328.0],(2328.0;2535.0],(2535.0;3016.0],>3016.0}
@attribute engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute engine-size {<=92.0,(92.0;98.0],(98.0;109.0],(109.0;122.0],(122.0;145.0],>145.0}
@attribute fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute bore {<=3.01,(3.01;3.15],(3.15;3.24],(3.24;3.43],(3.43;3.62],>3.62}
@attribute stroke {<=3.03,(3.03;3.15],(3.15;3.27],(3.27;3.39],(3.39;3.46],>3.46}
@attribute compression-ratio {<=8.5,(8.5;9.0],(9.0;9.0],(9.0;9.3],(9.3;9.5],>9.5}
@attribute horsepower {<=68.0,(68.0;73.0],(73.0;88.0],(88.0;102.0],(102.0;116.0],>116.0}
@attribute peak-rpm {<=4800.0,(4800.0;4800.0],(4800.0;5200.0],(5200.0;5250.0],(5250.0;5500.0],>5500.0}
@attribute city-mpg {<=19.0,(19.0;24.0],(24.0;26.0],(26.0;28.0],(28.0;31.0],>31.0}
@attribute highway-mpg {<=25.0,(25.0;29.0],(29.0;32.0],(32.0;34.0],(34.0;38.0],>38.0}
@attribute price {<=6795.0,(6795.0;7799.0],(7799.0;8949.0],(8949.0;11248.0],(11248.0;16845.0],>16845.0}
@attribute class {-3,-2,-1,0,1,2,3}

@data
<=89.0,subaru,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,<=63.8,(52.8;54.1],(1985.0;2190.0],ohcf,four,(92.0;98.0],2bbl,(3.43;3.62],<=3.03,(8.5;9.0],(68.0;73.0],(4800.0;5200.0],(28.0;31.0],(34.0;38.0],<=6795.0,2
(110.0;129.0],chevrolet,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,<=63.8,(52.8;54.1],<=1985.0,l,three,<=92.0,2bbl,<=3.01,<=3.03,(9.3;9.5],<=68.0,(4800.0;5200.0],>31.0,>38.0,<=6795.0,2
(101.0;110.0],mazda,gas,std,two,hatchback,fwd,front,<=93.7,(158.7;167.3],(63.8;64.2],(52.8;54.1],<=1985.0,ohc,four,<=92.0,2bbl,(3.01;3.15],(3.03;3.15],(8.5;9.0],<=68.0,(4800.0;5200.0],(28.0;31.0],(29.0;32.0],<=6795.0,1
<=89.0,toyota,gas,std,two,hatchback,fwd,front,(93.7;95.7],<=158.7,<=63.8,(54.1;54.7],<=1985.0,ohc,four,<=92.0,2bbl,(3.01;3.15],<=3.03,(8.5;9.0],<=68.0,<=4800.0,>31.0,>38.0,<=6795.0,1
>158.0,mitsubishi,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,(64.2;65.4],<=51.0,<=1985.0,ohc,four,<=92.0,2bbl,<=3.01,(3.15;3.27],(9.3;9.5],<=68.0,(5250.0;5500.0],>31.0,>38.0,<=6795.0,2
(89.0;101.0],honda,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,(63.8;64.2],(51.0;52.8],<=1985.0,ohc,four,<=92.0,1bbl,<=3.01,(3.03;3.15],>9.5,<=68.0,(5250.0;5500.0],>31.0,>38.0,<=6795.0,1
(110.0;129.0],nissan,gas,std,two,sedan,fwd,front,(93.7;95.7],(158.7;167.3],<=63.8,(54.1;54.7],<=1985.0,ohc,four,(92.0;98.0],2bbl,(3.01;3.15],(3.27;3.39],(9.3;9.5],(68.0;73.0],(4800.0;5200.0],(28.0;31.0],(34.0;38.0],<=6795.0,1
(110.0;129.0],dodge,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,<=63.8,<=51.0,<=1985.0,ohc,four,<=92.0,2bbl,<=3.01,(3.15;3.27],(9.3;9.5],<=68.0,(5250.0;5500.0],>31.0,>38.0,<=6795.0,1
(110.0;129.0],plymouth,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,<=63.8,<=51.0,<=1985.0,ohc,four,<=92.0,2bbl,<=3.01,(3.15;3.27],(9.3;9.5],<=68.0,(5250.0;5500.0],>31.0,>38.0,<=6795.0,1
(101.0;110.0],mazda,gas,std,two,hatchback,fwd,front,<=93.7,(158.7;167.3],(63.8;64.2],(52.8;54.1],<=1985.0,ohc,four,<=92.0,2bbl,(3.01;3.15],(3.03;3.15],(8.5;9.0],<=68.0,(4800.0;5200.0],(28.0;31.0],(34.0;38.0],<=6795.0,1
>158.0,mitsubishi,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,(64.2;65.4],<=51.0,<=1985.0,ohc,four,<=92.0,2bbl,<=3.01,(3.15;3.27],(9.3;9.5],<=68.0,(5250.0;5500.0],(28.0;31.0],(34.0;38.0],<=6795.0,2
(129.0;158.0],plymouth,gas,std,four,hatchback,fwd,front,<=93.7,<=158.7,<=63.8,<=51.0,<=1985.0,ohc,four,<=92.0,2bbl,<=3.01,(3.15;3.27],(9.3;9.5],<=68.0,(5250.0;5500.0],(28.0;31.0],(34.0;38.0],<=6795.0,1
(129.0;158.0],dodge,gas,std,four,hatchback,fwd,front,<=93.7,<=158.7,<=63.8,<=51.0,<=1985.0,ohc,four,<=92.0,2bbl,<=3.01,(3.15;3.27],(9.3;9.5],<=68.0,(5250.0;5500.0],(28.0;31.0],(34.0;38.0],<=6795.0,1
(89.0;101.0],chevrolet,gas,std,two,hatchback,fwd,front,(93.7;95.7],<=158.7,<=63.8,(51.0;52.8],<=1985.0,ohc,four,<=92.0,2bbl,(3.01;3.15],(3.03;3.15],>9.5,(68.0;73.0],(5250.0;5500.0],>31.0,>38.0,<=6795.0,1
<=89.0,toyota,gas,std,two,hatchback,fwd,front,(93.7;95.7],<=158.7,<=63.8,(54.1;54.7],(1985.0;2190.0],ohc,four,<=92.0,2bbl,(3.01;3.15],<=3.03,(8.5;9.0],<=68.0,<=4800.0,(28.0;31.0],(34.0;38.0],<=6795.0,1
(110.0;129.0],dodge,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,<=63.8,<=51.0,<=1985.0,ohc,four,<=92.0,2bbl,<=3.01,(3.15;3.27],(9.3;9.5],<=68.0,(5250.0;5500.0],(28.0;31.0],(34.0;38.0],<=6795.0,1
(129.0;158.0],honda,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,(63.8;64.2],<=51.0,<=1985.0,ohc,four,<=92.0,1bbl,<=3.01,(3.39;3.46],>9.5,<=68.0,<=4800.0,>31.0,>38.0,<=6795.0,2
<=89.0,toyota,gas,std,four,hatchback,fwd,front,(93.7;95.7],<=158.7,<=63.8,(54.1;54.7],(1985.0;2190.0],ohc,four,<=92.0,2bbl,(3.01;3.15],<=3.03,(8.5;9.0],<=68.0,<=4800.0,(28.0;31.0],(34.0;38.0],<=6795.0,1
(89.0;101.0],honda,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,(63.8;64.2],(51.0;52.8],<=1985.0,ohc,four,<=92.0,1bbl,<=3.01,(3.39;3.46],(9.0;9.3],(73.0;88.0],>5500.0,(28.0;31.0],(32.0;34.0],<=6795.0,1
<=89.0,chevrolet,gas,std,four,sedan,fwd,front,(93.7;95.7],(158.7;167.3],<=63.8,(51.0;52.8],<=1985.0,ohc,four,<=92.0,2bbl,(3.01;3.15],(3.03;3.15],>9.5,(68.0;73.0],(5250.0;5500.0],>31.0,>38.0,<=6795.0,0
(110.0;129.0],nissan,gas,std,two,sedan,fwd,front,(93.7;95.7],(158.7;167.3],<=63.8,(54.1;54.7],<=1985.0,ohc,four,(92.0;98.0],2bbl,(3.01;3.15],(3.27;3.39],(9.3;9.5],(68.0;73.0],(4800.0;5200.0],(28.0;31.0],(34.0;38.0],<=6795.0,1
>158.0,mitsubishi,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,(64.2;65.4],<=51.0,(1985.0;2190.0],ohc,four,<=92.0,2bbl,<=3.01,(3.15;3.27],(9.3;9.5],<=68.0,(5250.0;5500.0],(28.0;31.0],(34.0;38.0],<=6795.0,2
(129.0;158.0],plymouth,gas,std,four,sedan,fwd,front,<=93.7,(158.7;167.3],<=63.8,<=51.0,(1985.0;2190.0],ohc,four,<=92.0,2bbl,<=3.01,(3.15;3.27],(9.3;9.5],<=68.0,(5250.0;5500.0],(28.0;31.0],(34.0;38.0],<=6795.0,1
(129.0;158.0],dodge,gas,std,four,sedan,fwd,front,<=93.7,<=158.7,<=63.8,<=51.0,(1985.0;2190.0],ohc,four,<=92.0,2bbl,<=3.01,(3.15;3.27],(9.3;9.5],<=68.0,(5250.0;5500.0],(28.0;31.0],(34.0;38.0],<=6795.0,1
(110.0;129.0],mazda,gas,std,four,sedan,fwd,front,<=93.7,(158.7;167.3],(63.8;64.2],(52.8;54.1],<=1985.0,ohc,four,<=92.0,2bbl,(3.01;3.15],(3.03;3.15],(8.5;9.0],<=68.0,(4800.0;5200.0],(28.0;31.0],(34.0;38.0],<=6795.0,1
(101.0;110.0],mazda,gas,std,two,hatchback,fwd,front,<=93.7,(158.7;167.3],(63.8;64.2],(52.8;54.1],<=1985.0,ohc,four,<=92.0,2bbl,(3.01;3.15],(3.03;3.15],(8.5;9.0],<=68.0,(4800.0;5200.0],(28.0;31.0],(34.0;38.0],<=6795.0,1
(110.0;129.0],nissan,gas,std,four,sedan,fwd,front,(93.7;95.7],(158.7;167.3],<=63.8,(54.1;54.7],<=1985.0,ohc,four,(92.0;98.0],2bbl,(3.01;3.15],(3.27;3.39],(9.3;9.5],(68.0;73.0],(4800.0;5200.0],(28.0;31.0],(34.0;38.0],(6795.0;7799.0],1
(129.0;158.0],honda,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,(63.8;64.2],<=51.0,<=1985.0,ohc,four,<=92.0,1bbl,<=3.01,(3.39;3.46],(9.0;9.3],(73.0;88.0],>5500.0,(28.0;31.0],(34.0;38.0],(6795.0;7799.0],2
<=89.0,toyota,gas,std,four,wagon,fwd,front,(93.7;95.7],(167.3;172.0],<=63.8,>55.9,(2190.0;2328.0],ohc,four,<=92.0,2bbl,(3.01;3.15],<=3.03,(8.5;9.0],<=68.0,<=4800.0,(28.0;31.0],(34.0;38.0],(6795.0;7799.0],0
(89.0;101.0],toyota,gas,std,four,sedan,fwd,front,(93.7;95.7],(158.7;167.3],(64.2;65.4],(52.8;54.1],(1985.0;2190.0],ohc,four,(92.0;98.0],2bbl,(3.15;3.24],<=3.03,(8.5;9.0],(68.0;73.0],<=4800.0,(28.0;31.0],(34.0;38.0],(6795.0;7799.0],0
(110.0;129.0],mitsubishi,gas,std,four,sedan,fwd,front,(95.7;96.6],(172.0;176.2],(64.2;65.4],(51.0;52.8],(2328.0;2535.0],ohc,four,(109.0;122.0],2bbl,(3.24;3.43],(3.39;3.46],<=8.5,(73.0;88.0],(4800.0;5200.0],(24.0;26.0],(29.0;32.0],(6795.0;7799.0],1
<=89.0,subaru,gas,std,two,hatchback,fwd,front,<=93.7,<=158.7,<=63.8,(52.8;54.1],(1985.0;2190.0],ohcf,four,(98.0;109.0],2bbl,(3.43;3.62],<=3.03,(8.5;9.0],(68.0;73.0],<=4800.0,(24.0;26.0],(29.0;32.0],(6795.0;7799.0],2
