% This is a dataset obtained from the StatLib repository. Here is the
% included description:
% 
% S&P Letters Data 
% 
% We collected information on the variables using all the block groups
% in California from the 1990 Cens us. In this sample a block group on
% average includes 1425.5 individuals living in a geographically co
% mpact area. Naturally, the geographical area included varies inversely
% with the population density. W e computed distances among the
% centroids of each block group as measured in latitude and longitude. W
% e excluded all the block groups reporting zero entries for the
% independent and dependent variables. T he final data contained 20,640
% observations on 9 variables. The dependent variable is ln(median house
% value).
% 
%                                Bols    tols
% INTERCEPT                      11.4939 275.7518
% MEDIAN INCOME          0.4790  45.7768
% MEDIAN INCOME2         -0.0166 -9.4841
% MEDIAN INCOME3         -0.0002 -1.9157
% ln(MEDIAN AGE)         0.1570  33.6123
% ln(TOTAL ROOMS/ POPULATION)    -0.8582 -56.1280
% ln(BEDROOMS/ POPULATION)       0.8043  38.0685
% ln(POPULATION/ HOUSEHOLDS)     -0.4077 -20.8762
% ln(HOUSEHOLDS)         0.0477  13.0792
% 
% The file contains all the the variables. Specifically, it contains
% median house value, med ian income, housing median age, total rooms,
% total bedrooms, population, households, latitude, and lo ngitude in
% that order.
% 
% Reference 
% 
% Pace, R. Kelley and Ronald Barry, Sparse Spatial Autoregressions,
% Statistics and Probability Letters, 33 (1997) 291-297.
% 
% The manuscript describing the data can be found at
% www.spatial-statistics.com. The data are also available as Matlab
% files.
% 
% Contact kelley@spatial-statistics.com or kelley@pace.am if you have
% any further questions. Thanks.
% 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Source: StatLib repository. 
% Characteristics: 20460 cases, 9 continuous attributes
@relation cal_housing
@attribute longitude {<=-122.23,(-122.23;-121.8],(-121.8;-120.51],(-120.51;-118.49],(-118.49;-118.26],(-118.26;-118.01],(-118.01;-117.36],>-117.36}
@attribute latitude {<=33.73,(33.73;33.93],(33.93;34.07],(34.07;34.26],(34.26;36.92],(36.92;37.71],(37.71;38.24],>38.24}
@attribute housingMedianAge {<=14.0,(14.0;18.0],(18.0;24.0],(24.0;29.0],(29.0;34.0],(34.0;37.0],(37.0;44.0],>44.0}
@attribute totalRooms {<=1050.0,(1050.0;1447.0],(1447.0;1771.0],(1771.0;2127.0],(2127.0;2557.0],(2557.0;3148.0],(3148.0;4247.0],>4247.0}
@attribute totalBedrooms {<=219.0,(219.0;295.0],(295.0;362.0],(362.0;435.0],(435.0;523.0],(523.0;647.0],(647.0;875.0],>875.0}
@attribute population {<=570.0,(570.0;787.0],(787.0;970.0],(970.0;1166.0],(1166.0;1400.0],(1400.0;1725.0],(1725.0;2324.0],>2324.0}
@attribute households {<=206.0,(206.0;280.0],(280.0;342.0],(342.0;409.0],(409.0;489.0],(489.0;605.0],(605.0;809.0],>809.0}
@attribute medianIncome {<=2.0308,(2.0308;2.5625],(2.5625;3.0536],(3.0536;3.5347],(3.5347;4.0625],(4.0625;4.7431],(4.7431;5.8309],>5.8309}
@attribute class {<=107200.,(107200.;157300.],(157300.;209400.],(209400.;290000.],>290000.}

@data
(-118.26;-118.01],(33.73;33.93],(34.0;37.0],<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,(157300.;209400.]
(-121.8;-120.51],(36.92;37.71],>44.0,<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,<=107200.
(-118.49;-118.26],(33.73;33.93],>44.0,<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,<=107200.
(-118.49;-118.26],(33.93;34.07],(24.0;29.0],<=1050.0,(219.0;295.0],>2324.0,(206.0;280.0],<=2.0308,>290000.
(-118.01;-117.36],(33.93;34.07],>44.0,<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,(107200.;157300.]
(-120.51;-118.49],(34.26;36.92],(18.0;24.0],<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,<=107200.
>-117.36,(34.26;36.92],<=14.0,<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,<=107200.
(-118.26;-118.01],(34.07;34.26],(24.0;29.0],<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,>290000.
<=-122.23,>38.24,(14.0;18.0],<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,<=107200.
<=-122.23,>38.24,(14.0;18.0],<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,<=107200.
(-120.51;-118.49],(37.71;38.24],(37.0;44.0],<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,(157300.;209400.]
<=-122.23,(37.71;38.24],>44.0,<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,<=107200.
(-122.23;-121.8],(37.71;38.24],>44.0,<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,<=107200.
>-117.36,<=33.73,>44.0,<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,(157300.;209400.]
<=-122.23,>38.24,(24.0;29.0],<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,<=107200.
(-118.49;-118.26],(34.07;34.26],>44.0,<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,>290000.
(-121.8;-120.51],(36.92;37.71],(14.0;18.0],<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,(157300.;209400.]
(-118.49;-118.26],(33.93;34.07],(14.0;18.0],<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,>290000.
>-117.36,(34.07;34.26],<=14.0,<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,<=107200.
>-117.36,<=33.73,(24.0;29.0],<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,(209400.;290000.]
(-121.8;-120.51],(36.92;37.71],(29.0;34.0],<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,(107200.;157300.]
<=-122.23,>38.24,(34.0;37.0],<=1050.0,<=219.0,<=570.0,<=206.0,<=2.0308,<=107200.
(-118.49;-118.26],(33.93;34.07],(37.0;44.0],(1050.0;1447.0],(219.0;295.0],(970.0;1166.0],(206.0;280.0],<=2.0308,<=107200.
