% This data set is also obtained from the task of controlling a F16
% aircraft, although the target variable and attributes are different
% from the ailerons domain. In this case the goal variable is related to
% an action taken on the elevators of the aircraft.
% 
% Characteristics: 8752 cases, 19 continuous attributes 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: Experiments of Rui Camacho (rcamacho@garfield.fe.up.pt). 
@relation elevators
@attribute climbRate numeric
@attribute Sgz numeric
@attribute p numeric
@attribute q numeric
@attribute curRoll numeric
@attribute absRoll numeric
@attribute diffClb numeric
@attribute diffRollRate numeric
@attribute diffDiffClb numeric
@attribute SaTime1 numeric
@attribute SaTime2 numeric
@attribute SaTime3 numeric
@attribute SaTime4 numeric
@attribute diffSaTime1 numeric
@attribute diffSaTime2 numeric
@attribute diffSaTime3 numeric
@attribute diffSaTime4 numeric
@attribute Sa numeric
@attribute class {<=0.017,(0.017;0.019],(0.019;0.02],(0.02;0.024],>0.024}

@data
-571.0,-27.0,-0.13,-0.05,0.8,-5.0,5.0,-0.012,-0.6,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-485.0,-39.0,0.12,-0.11,0.1,-12.0,20.0,0.01,-0.7,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-191.0,-11.0,-0.51,0.01,0.1,-10.0,3.0,-0.019,-0.2,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,<=0.017
-730.0,-37.0,0.49,-0.24,0.5,-6.0,31.0,0.006,0.8,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,0.0,-0.0002,<=0.017
-138.0,-93.0,-0.48,-0.38,-2.0,-12.0,45.0,0.011,1.4,-0.0004,-0.0006,-0.0006,-0.0006,0.0002,0.0,0.0,0.0,-0.0006,<=0.017
-899.0,-27.0,-0.29,-0.13,1.7,-6.0,13.0,-0.01,0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,<=0.017
-619.0,-81.0,-0.62,-0.14,-1.1,-11.0,20.0,0.007,-1.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,<=0.017
-410.0,-73.0,0.05,-0.28,0.6,-6.0,25.0,-0.004,1.9,-0.0006,-0.0005,-0.0005,-0.0005,-0.0002,0.0,-0.0002,0.0,-0.0005,<=0.017
-81.0,-50.0,0.13,-0.1,0.4,-7.0,12.0,-0.005,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,<=0.017
-501.0,-70.0,0.06,-0.22,0.6,-6.0,19.0,-0.01,-0.2,-0.0005,-0.0005,-0.0005,-0.0006,0.0,0.0,0.0001,0.0,-0.0006,<=0.017
