% This database was designed on the basis of data provided by US Census
% Bureau [http://www.census.gov] (under Lookup Access
% [http://www.census.gov/cdrom/lookup]: Summary Tape File 1). The data
% were collected as part of the 1990 US census. These are mostly counts
% cumulated at different survey levels. For the purpose of this data set
% a level State-Place was used. Data from all states was obtained. Most
% of the counts were changed into appropriate proportions.  There are 4
% different data sets obtained from this database: House(8H) House(8L)
% House(16H) House(16L) These are all concerned with predicting the
% median price of the house in the region based on demographic
% composition and a state of housing market in the region. A number in
% the name signifies the number of attributes of the data set. A
% following letter denotes a very rough approximation to the difficulty
% of the task. For Low task difficulty, more correlated attributes were
% chosen as signified by univariate smooth fit of that input on the
% target. Tasks with High difficulty have had their attributes chosen to
% make the modelling more difficult due to higher variance or lower
% correlation of the inputs to the target.
% 
% Original source: DELVE repository of data. 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Characteristics: 22784 cases, 9 continuous attributes.
@relation house_8L.arff
@attribute P3 numeric
@attribute P6p4 numeric
@attribute P11p3 numeric
@attribute P16p2 numeric
@attribute P19p2 numeric
@attribute H5p2 numeric
@attribute H15p1 numeric
@attribute H40p4 numeric
@attribute class {<=18400.0,(18400.0;28100.0],(28100.0;39800.0],(39800.0;65200.0],>65200.0}

@data
15.0,0.0,0.6842105,0.6666667,0.0,0.0,0.0,0.0,<=18400.0
1.0,0.0,0.75,1.0,0.0,0.0,8.0,0.0,<=18400.0
10.0,0.0,0.6666667,0.8,0.0,0.0,0.0,0.0,<=18400.0
5.0,0.0,0.5714286,0.6,0.0,0.0,5.0,0.0,<=18400.0
1298.0,0.0281496,0.4133858,0.9437596,0.0770416,0.0,0.0,0.0,<=18400.0
4.0,0.0,0.6,0.75,0.0,0.0,8.0,0.0,<=18400.0
978.0,0.0535478,0.4129572,0.99591,0.1206544,0.0,0.0,0.0,<=18400.0
7.0,0.0,0.5454545,0.4285714,0.0,0.0,1.0,0.0,<=18400.0
1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,<=18400.0
466.0,0.0187394,0.4787053,0.9506438,0.0858369,0.0,0.0,0.0,<=18400.0
369.0,0.0733379,0.4585332,0.9322493,0.2140921,0.0,0.0,0.0,<=18400.0
112.0,0.0452675,0.563786,0.4196429,0.0089286,0.1437908,4.15,0.9545455,<=18400.0
19.0,0.0,0.5689655,0.9473684,0.0526316,0.0,5.0,0.0,<=18400.0
168.0,0.033033,0.5382883,0.9880952,0.2797619,0.25,0.0,1.0,<=18400.0
43.0,0.0,0.6219512,0.9534884,0.0,0.0,4.4166667,0.0,<=18400.0
6.0,0.0,0.6666667,0.8333333,0.0,0.0,3.0,0.0,<=18400.0
2042.0,0.0697831,0.479321,0.9691479,0.1243879,0.0153846,5.1043956,0.0,<=18400.0
1019.0,0.071444,0.4543492,0.936212,0.0853778,0.0,6.3333333,0.0,<=18400.0
9.0,0.0,0.4347826,1.0,0.0,0.0,0.0,0.0,<=18400.0
414.0,0.037037,0.482963,0.9710145,0.0362319,0.0,5.0,0.0,<=18400.0
2.0,0.0,0.9615385,0.5,0.0,0.0,7.0,0.0,<=18400.0
17.0,0.0,0.7101449,0.8235294,0.0,0.0,0.0,0.0,<=18400.0
5.0,0.0,0.6666667,0.6,0.0,0.0,9.0,0.0,<=18400.0
2.0,0.0,0.8,1.0,0.0,0.0,5.0,0.0,<=18400.0
13.0,0.0,0.5116279,0.7692308,0.0,0.0526316,0.0,0.0,<=18400.0
12.0,0.0,0.5441176,1.0,0.0,0.0,5.0,0.0,<=18400.0
14.0,0.0,0.3442623,0.8571429,0.0714286,0.0,0.0,0.0,<=18400.0
15.0,0.0,0.4761905,0.4,0.0,0.0,2.2,0.0,<=18400.0
3.0,0.0,0.5555556,1.0,0.0,0.0,6.0,0.0,<=18400.0
34.0,0.0,0.6153846,0.9705882,0.0,0.0,7.0,0.0,<=18400.0
36.0,0.0,0.52,0.7777778,0.0,0.0,4.875,0.0,<=18400.0
4.0,0.0,0.4285714,0.25,0.0,0.0,5.0,0.0,<=18400.0
636.0,0.0413717,0.1869469,0.7940252,0.0503145,0.0,4.0,0.0,<=18400.0
2.0,0.0,1.0,0.5,0.0,0.0,7.0,0.0,<=18400.0
401.0,0.0670045,0.2212838,0.2369077,0.0049875,0.0,6.3,0.0,<=18400.0
23.0,0.0,0.45,0.5217391,0.0,0.0,4.3888889,0.0,<=18400.0
1.0,0.0,0.5,1.0,0.0,0.125,0.0,1.0,<=18400.0
14.0,0.0163728,0.1561713,0.8571429,0.0714286,0.0,0.0,0.0,<=18400.0
16.0,0.0446429,0.3660714,0.375,0.125,0.0,0.0,0.0,<=18400.0
9.0,0.0,0.5,0.7777778,0.0,0.0,0.0,0.0,<=18400.0
2.0,0.0,0.6,1.0,0.0,0.0294118,3.5,0.0,<=18400.0
1446.0,0.0353774,0.414252,0.9868603,0.0836791,0.0,0.0,0.0,<=18400.0
18.0,0.0,0.6285714,0.4444444,0.0,0.25,3.8181818,0.0,<=18400.0
33.0,0.0075188,0.6842105,1.0,0.0,0.0,0.0,0.0,<=18400.0
4.0,0.0,0.4444444,1.0,0.0,0.0,3.5,0.0,<=18400.0
30.0,0.0,0.3355263,1.0,0.0,0.0,5.5,0.0,<=18400.0
2.0,0.0,0.4285714,1.0,0.0,0.0,0.0,0.0,<=18400.0
48.0,0.0050505,0.6616162,0.8958333,0.0,0.0,0.0,0.0,<=18400.0
36.0,0.0107527,0.6774194,0.5555556,0.0,0.0,3.5882353,0.0,<=18400.0
3.0,0.0,0.5,0.6666667,0.0,0.0,4.5,0.0,<=18400.0
748.0,0.0483092,0.4091184,0.9959893,0.1350267,0.0,0.0,0.0,<=18400.0
30.0,0.0,0.5090909,0.9333333,0.1,0.0,7.0,0.0,<=18400.0
16.0,0.0,0.56,0.3125,0.0,0.1428571,4.3846154,1.0,<=18400.0
17.0,0.0,0.5102041,0.8823529,0.0,0.5,6.0,1.0,<=18400.0
108.0,0.0037175,0.401487,0.6944444,0.0,0.2666667,5.5632184,1.0,<=18400.0
430.0,0.0,0.4200196,0.6372093,0.0,0.3552632,6.0454545,0.8888889,<=18400.0
1393.0,0.0011915,0.4575514,0.661163,0.0,0.1884817,5.3333333,0.5555556,<=18400.0
13.0,0.0,0.5294118,0.6153846,0.0,0.3333333,6.2727273,1.0,<=18400.0
95.0,0.0,0.4951923,0.6105263,0.0,0.3333333,6.3561644,1.0,<=18400.0
894.0,0.002524,0.4351338,0.6252796,0.0,0.1851852,6.1702786,0.65,<=18400.0
74.0,0.0028736,0.2442529,0.5945946,0.0135135,0.0869565,5.1774194,1.0,<=18400.0
237.0,0.0013072,0.4169935,0.7974684,0.0,0.0857143,4.8630952,0.6666667,<=18400.0
92.0,0.0,0.5336134,0.7173913,0.0,0.3333333,5.345679,0.5,<=18400.0
34.0,0.0,0.4431818,0.6470588,0.0,0.0,5.6521739,0.0,<=18400.0
86.0,0.0,0.4473684,0.6046512,0.0116279,0.1111111,5.0294118,1.0,<=18400.0
101.0,0.0,0.4752852,0.6831683,0.0,0.0,6.3058824,0.0,<=18400.0
23.0,0.0,0.4923077,0.826087,0.0,0.0,5.4285714,0.0,<=18400.0
189.0,0.0159817,0.4109589,0.6507937,0.0,0.0,5.5869565,0.0,<=18400.0
56.0,0.0,0.4049587,0.6428571,0.0,0.0645161,6.0,1.0,<=18400.0
45.0,0.0092593,0.4722222,0.7777778,0.0,0.2631579,5.6842105,0.8,<=18400.0
26.0,0.0,0.4705882,0.7307692,0.0,0.0,5.7,0.0,<=18400.0
165.0,0.0,0.3738318,0.5333333,0.0,0.2857143,5.6203704,0.5,<=18400.0
92.0,0.0151515,0.4292929,0.6195652,0.0108696,0.1219512,5.7160494,1.0,<=18400.0
204.0,0.0,0.4200385,0.6568627,0.0441176,0.1403509,5.0583942,0.625,<=18400.0
297.0,0.0,0.3582296,0.5791246,0.0,0.25,5.0913706,0.3333333,<=18400.0
144.0,0.0,0.3944805,0.8194444,0.0069444,0.0,3.0338983,0.0,<=18400.0
22.0,0.0,0.4259259,0.5909091,0.0,0.0,2.1333333,0.0,<=18400.0
10.0,0.0,0.4,0.7,0.0,0.0,5.7777778,0.0,<=18400.0
103.0,0.0,0.3067729,0.5825243,0.0,0.4545455,5.3164557,1.0,<=18400.0
171.0,0.0,0.5369369,0.6432749,0.0,0.0487805,5.4927536,0.5,<=18400.0
67.0,0.0,0.5688623,0.7462687,0.0,0.2222222,5.1052632,1.0,<=18400.0
146.0,0.0024814,0.471464,0.760274,0.0136986,0.1,5.5982143,0.6666667,<=18400.0
56.0,0.0,0.4593023,0.8214286,0.0,0.0,5.745098,0.0,<=18400.0
41.0,0.0,0.4883721,0.6341463,0.0,1.0,4.5,1.0,<=18400.0
70.0,0.010989,0.4578755,0.8,0.0142857,0.0,3.1730769,0.0,<=18400.0
72.0,0.0,0.4431818,0.625,1.0,0.0714286,5.509434,1.0,<=18400.0
10.0,0.0,0.5,0.6,0.0,0.0,4.5,0.0,<=18400.0
23.0,0.0,0.4716981,0.6956522,0.0,0.0,5.2222222,0.0,<=18400.0
84.0,0.0,0.4537445,0.75,0.0952381,0.0,5.4328358,0.0,<=18400.0
267.0,0.0,0.4483221,0.752809,0.0299625,0.1153846,5.2028986,0.6666667,<=18400.0
485.0,0.0,0.4182306,0.6329897,0.0,0.1666667,5.914787,0.8666667,<=18400.0
40.0,0.0,0.5,0.7,0.0,0.1764706,6.09375,0.6666667,<=18400.0
