% This is a dataset obtained from the StatLib repository. Here is the included description:
% 
% The data provided are daily stock prices from January 1988 through October 1991, for ten aerospace companies.
% 
% Source: collection of regression datasets by Luis Torgo (ltorgo@ncc.up.pt) at
% http://www.ncc.up.pt/~ltorgo/Regression/DataSets.html
% Original source: StatLib repository. 
% Characteristics: 950 cases, 10 continuous attributes
@relation stock
@attribute company1 {<=25.063,(25.063;27.719],(27.719;33.672],(33.672;38.75],(38.75;44.375],(44.375;46.875],(46.875;48.875],>48.875}
@attribute company2 {<=26.25,(26.25;35.25],(35.25;40.125],(40.125;48.75],(48.75;51.0],(51.0;53.125],(53.125;56.25],>56.25}
@attribute company3 {<=15.125,(15.125;16.0],(16.0;17.875],(17.875;19.375],(19.375;20.0],(20.0;20.875],(20.875;21.75],>21.75}
@attribute company4 {<=39.75,(39.75;41.375],(41.375;42.75],(42.75;43.875],(43.875;45.5],(45.5;48.125],(48.125;52.75],>52.75}
@attribute company5 {<=43.5,(43.5;49.625],(49.625;55.125],(55.125;61.625],(61.625;64.0],(64.0;71.375],(71.375;78.0],>78.0}
@attribute company6 {<=16.75,(16.75;18.0],(18.0;22.75],(22.75;25.625],(25.625;27.125],(27.125;28.875],(28.875;30.0],>30.0}
@attribute company7 {<=63.75,(63.75;65.625],(65.625;67.0],(67.0;68.625],(68.625;70.5],(70.5;76.0],(76.0;80.5],>80.5}
@attribute company8 {<=19.875,(19.875;21.25],(21.25;22.0],(22.0;22.5],(22.5;24.375],(24.375;26.25],(26.25;27.125],>27.125}
@attribute company9 {<=39.125,(39.125;41.75],(41.75;43.25],(43.25;44.75],(44.75;46.125],(46.125;47.625],(47.625;48.75],>48.75}
@attribute class {<=40.125,(40.125;45.0],(45.0;48.375],(48.375;53.5],>53.5}

@data
(44.375;46.875],<=26.25,<=15.125,<=39.75,(43.5;49.625],<=16.75,(63.75;65.625],(22.0;22.5],<=39.125,(45.0;48.375]
(44.375;46.875],<=26.25,(16.0;17.875],<=39.75,(49.625;55.125],<=16.75,(68.625;70.5],(24.375;26.25],<=39.125,(40.125;45.0]
(46.875;48.875],<=26.25,<=15.125,<=39.75,(49.625;55.125],<=16.75,(67.0;68.625],(24.375;26.25],<=39.125,(45.0;48.375]
(46.875;48.875],<=26.25,<=15.125,(39.75;41.375],(49.625;55.125],<=16.75,(67.0;68.625],(24.375;26.25],<=39.125,(45.0;48.375]
(38.75;44.375],<=26.25,(16.0;17.875],(39.75;41.375],(49.625;55.125],<=16.75,(68.625;70.5],(22.5;24.375],<=39.125,(40.125;45.0]
(46.875;48.875],<=26.25,<=15.125,<=39.75,(43.5;49.625],<=16.75,(63.75;65.625],(22.5;24.375],<=39.125,(48.375;53.5]
(46.875;48.875],<=26.25,<=15.125,<=39.75,(49.625;55.125],<=16.75,(65.625;67.0],(24.375;26.25],<=39.125,(45.0;48.375]
(44.375;46.875],<=26.25,(15.125;16.0],<=39.75,(43.5;49.625],<=16.75,(67.0;68.625],(24.375;26.25],<=39.125,(45.0;48.375]
(44.375;46.875],<=26.25,(15.125;16.0],<=39.75,(43.5;49.625],<=16.75,(67.0;68.625],(24.375;26.25],<=39.125,(45.0;48.375]
(38.75;44.375],<=26.25,(16.0;17.875],<=39.75,(43.5;49.625],<=16.75,(68.625;70.5],(24.375;26.25],<=39.125,(40.125;45.0]
(44.375;46.875],<=26.25,(16.0;17.875],<=39.75,(49.625;55.125],<=16.75,(70.5;76.0],(22.5;24.375],<=39.125,(40.125;45.0]
